topology,algorithm,executions,successes,success_rate,average_messages,median_messages,p95_messages,average_nodes
circulant_4_12,flooding,1000,1000,1.0,31.0,31.0,31.0,12.0
circulant_4_12,informed_flooding,1000,1000,1.0,15.5,15.5,31.0,6.5
circulant_4_12,random_walk,1000,467,0.467,13.228,12.0,22.0,6.354
circulant_4_12,informed_random_walk,1000,573,0.573,10.184,12.0,22.0,5.16
